Country Name,Lat,Lon,Avg Annual Temp (Celsius)
Albania,41.153332,20.168331,11.4
American Samoa,-14.270972,-170.132217,24.4
Argentina,-38.416097,-63.616672,14.8
Armenia,40.069099,45.038189,7.15
Australia,-35.26666667,149.133333,21.65
Austria,48.2,16.366667,6.35
Azerbaijan,40.143105,47.576927,11.95
Belarus,53.9,27.566667,6.15
Belgium,50.83333333,4.333333,9.55
Bolivia,-16.290154,-63.588653,21.55
Bosnia and Herzegovina,43.915886,17.679076,9.85
Brazil,-14.235004,-51.92528,24.95
Bulgaria,42.68333333,23.316667,10.55
Canada,45.41666667,-75.7,-5.35
Chile,-35.675147,-71.542969,8.45
China,9.91666667,116.383333,6.95
Colombia,4.570868,-74.297333,24.5
Croatia,45.8,16,10.9
Cyprus,35.126413,33.429859,18.45
Czech Republic,50.08333333,14.466667,7.55
Denmark,55.66666667,12.583333,7.5
Ecuador,-1.831239,-78.1834,21.85
Eritrea,15.179384,39.782334,25.5
Estonia,59.43333333,24.716667,5.1
Finland,60.16666667,24.933333,1.7
France,48.86666667,2.333333,10.7
Georgia,42.315407,43.356892,5.8
Germany,52.51666667,13.4,8.5
Ghana,7.946527,-1.023194,27.2
Greece,39.074208,21.824312,15.4
Haiti,18.971187,-72.285215,24.9
Hong Kong,22.396428,114.109497,22.65
Hungary,47.5,19.083333,9.75
Iceland,64.963051,-19.020835,1.75
India,20.593684,78.96288,23.65
Indonesia,-0.789275,113.921327,25.85
Iran,32.427908,53.688046,17.25
Ireland,53.41291,-8.24389,9.3
Israel,31.046051,34.851612,19.2
Italy,41.9,12.483333,13.45
Jamaica,18.109581,-77.297508,24.95
Japan,35.68333333,139.75,11.15
Kazakhstan,51.16666667,71.416667,6.4
South Korea,37.55,126.983333,11.5
Kyrgyz Republic,41.20438,74.766098,1.55
Latvia,56.95,24.1,5.6
Lebanon,33.854721,35.862285,16.4
Liechtenstein,47.13333333,9.516667,5.65
Lithuania,55.169438,23.881275,6.2
Luxembourg,49.6,6.116667,8.65
Macedonia,41.608635,21.745275,9.8
Madagascar,-18.766947,46.869107,22.65
Malta,35.937496,14.375416,19.2
Mexico,23.634501,-102.552784,21
Moldova,47.411631,28.369885,9.45
Monaco,43.750298,7.412841,13.55
Mongolia,46.862496,103.846656,-0.7
Montenegro,42.708678,19.37439,10.55
Morocco,31.791702,-7.09262,17.1
Netherlands,52.35,4.916667,9.25
New Caledonia,-20.904305,165.618042,22.15
New Zealand,-41.3,174.783333,10.55
Nigeria,9.081999,8.675277,26.8
Norway,59.91666667,10.75,1.5
Pakistan,30.375321,69.345116,20.2
Panama,8.537981,-80.782127,25.4
Peru,-9.189967,-75.015152,19.6
Philippines,12.879721,121.774017,25.85
Poland,52.25,21,7.85
Portugal,39.399872,-8.224454,15.15
Puerto Rico,18.220833,-66.590149,25.25
Romania,44.43333333,26.1,8.8
Russian Federation,55.75,37.6,-5.1
San Marino,43.94236,12.457777,11.85
Saudi Arabia,23.885942,45.079162,24.65
Serbia,44.016521,21.005859,10.55
Slovak Republic,48.15,17.116667,6.8
Slovenia,46.05,14.516667,8.9
Spain,40.4,-3.683333,13.3
Sweden,59.33333333,18.05,2.1
Switzerland,46.91666667,7.466667,5.5
Thailand,15.870032,100.992541,26.3
Timor-Leste,-8.874217,125.727539,25.25
Trinidad and Tobago,10.536421,-61.311951,25.7
Turkey,38.963745,35.243322,11.1
Ukraine,50.43333333,30.516667,8.3
United Kingdom,51.5,-0.083333,8.45
United States,38.9072,-77.0369,8.55
Uzbekistan,41.31666667,69.25,12.05
Virgin Islands (U.S.),18.335765,-64.896335,25.6
,,,
https://web.archive.org/web/20150905135247/http://lebanese-economy-forum.com/wdi-gdf-advanced-data-display/show/EN-CLC-AVRT-C/,,,